Ticker,Empresa,Nota Asvid,Negócios,Nota IA,Setor,Retorno 1M,Retorno 1A,EBITDA (Var. %),Lucro Líq (Var. %),EV/EBITDA,P/L,DL/EBITDA,DL/EBITDA (Var. %),Valor de Mercado,Comentário Asvid
AUAU3,Petz,4,"2,818",4,Varejo - Pet shop,-14.21%,-24.2%,40%,39%,6,20,-,0%,2.927B,"Pelo visto a fusão fez bem para a Petz, que acelerou o SSS e aumentou muito o EBITDA. Quem sabe a empresa está voltando das cinzas"
SAUD3,Bradsaúde,4,"7,820",5,Seguros,-,-,-2.5%,-3.1%,,,-,0%,39.3B,"Bom, é preciso um pouco de cautela com a reestruturação da empresa, mas é inegável que o negócio mudou e agora a realidade é outra"
CSMG3,Copasa,4,"14,797",3,Saneamento,-9.564%,130%,-0.88%,-4.3%,9.2,16,2.3,2.2%,20.15B,"Acho que a IA foi um pouco exigente, mas é verdade que os custos aumentaram um pouco e a empresa tem muito capex pela frente"
IRBR3,IRB Brasil,4,"1,131",4,Seguros,-5.567%,13.2%,-27%,-10%,L,13,-,0%,4.297B,"Para quem ainda se perguntava, esse deve ser o IRB a partir de agora, IC rondando os 100%, crescimento baixo dos prêmios"
WIZC3,Wiz,4,"1,519",3,Seguros,-10.88%,23.3%,-3.7%,-3.3%,1.8,4,-,0%,1.278B,"Resultado um pouco mais fraco da Wiz, que não conseguiu compensar a queda do run-off. Nada de mais, mas bom acompanhar"
BBDC4,Bradesco,4,"21,137",4,Bancos,-13.67%,14%,,-1.9%,,8.6,-,0%,178.5B,"Parece que a recuperação do Bradesco engrenou, agora estamos vendo resultados melhores e o ROAE em trajetória de alta sólida"
BRAP4,Bradespar,4,"4,126",5,Holdings,-5.736%,59.7%,50%,43%,12,12,-,0%,8.65B,"Não tem muito o que comentar, resultado acomapnhar o da Vale, que foi bom no trimestre, logo o dela também"
CMIN3,CSN Mineração,4,"7,930",4,Mineração,-9.312%,-12.5%,-2.5%,35%,4,12,0.04,-20%,24.39B,"Resultado tranquilo da CSN Mineração, com bons preços do minério compensados por um câmbio pior"
LEVE3,Mahle Metal Leve,4,"1,572",4,Autopeças,-5.865%,18.3%,1.1%,9%,5.2,7.1,0.94,-2.1%,4.465B,"Enquanto o setor inteiro automobilístico amarga uma crise brava, a Metal Leve segue em voo de cruzeiro, entregando bons resultados"
SLCE3,SLC Agrícola,4,"4,623",3,Agronegócio - Produção Agrícola,-9.106%,3.81%,-12%,-48%,7.4,32,3.3,41%,8.09B,"Essa safra em especial promete ser complicada, mas a SLC é uma excelente empresa para entregar valor no longo prazo"
TGMA3,Tegma,4,"1,019",3,Transporte e Logística - Rodoviário,-7.12%,-0.758%,0%,-2.1%,5.9,8.7,0.02,-92%,2.096B,"Parece que o resultado foi melhor que os números mostraram, a empresa está se preparando para um volume de demanda melhor à frente"
YDUQ3,Yduqs,4,"4,326",3,Educação,-14.17%,-36.6%,-4.5%,-35%,4.3,28,2.6,6%,2.659B,"Achei mediano o resultado da Yduqs, a empresa parece estar dando cada vez mais valor aos cursos premium, o que é muito promissor"
ORVR3,Orizon,4,"1,391",5,Serviços Ambientais,-5.797%,49.5%,6.1%,35%,17,69,2.7,2.7%,7.502B,"Será que dessa vez a Orizon vai finalmente decolar? O negócio é interessante, mas precisa parar de depender de capital externo"
ASAI3,Assaí,4,"11,935",3,Varejo - Alimentício,-11.81%,-16.6%,7.6%,41%,4.2,18,2.1,7.2%,12.34B,O cenário é bem complicado para o Assaí mas a gestão vem fazendo o que pode para segurar os resultados da empresa
ALOS3,Allos,4,"11,572",4,Shoppings,-12.75%,43%,-1.5%,-1.2%,8.5,16,1.7,7.5%,14.52B,Aparentemente todas as empresas de shopping centers estão com resultados excelentes e voando
PLPL3,Plano&Plano,4,"6,578",3,Construção Civil,-28.56%,-34.2%,-4.1%,-8.7%,4,7,0.17,0%,1.951B,"A IA foi muito exigente aqui, a Plano e Plano reconheceu menos resultado da DRE mas segue lançando e vendendo bem"
MTRE3,Mitre Realty,4,"1,004",4,Construção Civil,-7.533%,0.282%,11%,13%,7.9,4.5,4.4,-6.2%,378.7M,"Aparentemente o resultado da Mitre melhorou, principalmente em relação à margem bruta, acompanhar a queda no VSO"
DMVF3,D1000 Varejo Farma,4,279,4,Varejo - Farmacêutico,-17.5%,8.41%,5.4%,4.3%,2.6,15,0.38,100%,300.1M,"Resultado bom da D1000, mas ainda muito no limite, mesmo os números mais altos ainda estão com margens baixíssimas"
PASS3,Compass,4,"1,850",4,Distribuição de Gás,-,-,0.64%,-2.6%,,,2.6,5.2%,19.47B,"Primeiro resultado da Compass que analisamos, não pareceu nada de mais olhando por cima, setor não parece ser muito simples"
MELK3,Melnick,4,"1,343",4,Construção Civil,-5.491%,10.8%,23%,10%,8.9,4.3,3.6,-9.7%,680.7M,"Bom resultado da Melnick, vendendo bem tanto lançamentos quanto estoque, veremos como os lançamentos se comportam no ano"
